description,label,predicted_medical_specialty
Inguinal herniorrhaphy. A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery.,Surgery,Surgery
"Direct inguinal hernia. Rutkow direct inguinal herniorrhaphy. A standard inguinal incision was made, and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery.",Surgery,Surgery
"Bassini inguinal herniorrhaphy. A standard inguinal incision was made, and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery.",Surgery,Surgery
"Left inguinal herniorrhaphy, modified Bassini. Left inguinal hernia, direct.",Surgery,Surgery
"Laparoscopic right inguinal herniorrhaphy with mesh, as well as a circumcision. Recurrent right inguinal hernia, as well as phimosis.",Surgery,Surgery
Inguinal orchiopexy procedure.,Surgery,Surgery
Acute on chronic renal failure and uremia. Insertion of a right internal jugular vein hemodialysis catheter.,Surgery,Nephrology
Intramedullary nail fixation of the left tibia fracture with a Stryker T2 tibial nail. Left tibial shaft fracture status post gunshot wound.,Surgery,Orthopedic
Displaced left subtrochanteric femur fracture. Intramedullary rod in the left hip using the Synthes trochanteric fixation nail measuring 11 x 130 degrees with an 85-mm helical blade.,Surgery,Orthopedic
Secondary scleral suture fixated posterior chamber intraocular lens implant with penetrating keratoplasty. A concurrent vitrectomy and endolaser was performed by the vitreoretinal team.,Surgery,Ophthalmology
Exam under anesthesia. Removal of intrauterine clots. Postpartum hemorrhage,Surgery,Obstetrics / Gynecology
Debridement left ischial ulcer.,Surgery,Dermatology
Repair of juxtarenal abdominal aortic aneurysm with 14 mm Hemashield tube graft.,Surgery,Cardiovascular / Pulmonary
Procedure note on Keller Bunionectomy,Surgery,Podiatry
"Left below-the-knee amputation. Dressing change, right foot.",Surgery,Orthopedic
"Bilateral degenerative arthritis of the knees. Right total knee arthroplasty done in conjunction with a left total knee arthroplasty, which will be dictated separately.",Surgery,Orthopedic
Bilateral knee degenerative arthritis. Bilateral knee arthroplasty. The Zimmer NexGen total knee system was utilized.,Surgery,Orthopedic
Revision right total knee arthroplasty. Right failed total knee arthroplasty.,Surgery,Orthopedic
Left knee arthroscopy with lateral capsular release.,Surgery,Orthopedic
Arthroscopic procedure of the knee.,Surgery,Orthopedic
"Arthroscopy of the left knee with medial meniscoplasty. Internal derangement, left knee. Displaced bucket-handle tear of medial meniscus, left knee.",Surgery,Orthopedic
Left medial compartment osteoarthritis of the knee. Left unicompartmental knee replacement.,Surgery,Orthopedic
KYPHON Balloon Kyphoplasty at T12 and L1evels Insertion of KYPHON HV-R bone cement under low pressure at T12 and L1 levels and bone biopsy.,Surgery,Orthopedic
Fracture reduction with insertion of prosthetic device at T8 with kyphoplasty. Vertebroplasties at T7 and T9 with insertion of prosthetic device. Fracture of the T8 vertebra and T9 vertebra.,Surgery,Orthopedic
"Revision laminectomy L5-S1, discectomy L5-S1, right medial facetectomy, preparation of disk space and arthrodesis with interbody graft with BMP. Status post previous lumbar surgery for herniated disk with severe recurrence of axial back pain, failed conservative therapy.",Surgery,Orthopedic
"Complete laminectomy, L4. and facetectomy, L3-L4 level. A dural repair, right sided, on the lateral sheath, subarticular recess at the L4 pedicle level. Posterior spinal instrumentation, L4 to S1, using Synthes Pangea System. Posterior spinal fusion, L4 to S1. Insertion of morselized autograft, L4 to S1.",Surgery,Orthopedic
Decompressive left lumbar laminectomy C4-C5 and C5-C6 with neural foraminotomy. Posterior cervical fusion C4-C5. Songer wire. Right iliac bone graft.,Surgery,Surgery
"Microscopic-assisted revision of bilateral decompressive lumbar laminectomies and foraminotomies at the levels of L3-L4, L4-L5, and L5-S1. Posterior spinal fusion at the level of L4-L5 and L5-S1 utilizing local bone graft, allograft and segmental instrumentation. Posterior lumbar interbody arthrodesis utilizing cage instrumentation at L4-L5 with local bone graft and allograft. All procedures were performed under SSEP, EMG, and neurophysiologic monitoring.",Surgery,Orthopedic
"L1 laminotomy, microdissection, retrieval of foreign body (retained lumbar spinal catheter), attempted insertion of new external lumbar drain, and fluoroscopy.",Surgery,Neurosurgery
"Right L4 and L5 transpedicular decompression of distal right L4 and L5 nerve roots. Right L4-L5 and right L5-S1 laminotomies, medial facetectomies, and foraminotomies, decompression of right L5 and S1 nerve roots. Right L4-S1 posterolateral fusion with local bone graft. Left L4 through S1 segmental pedicle screw instrumentation. Preparation harvesting of local bone graft.",Surgery,Orthopedic
Patient status post lap band placement.,Surgery,Bariatrics
"Dilatation and curettage (D&C) and Laparoscopic ablation of endometrial implants. Pelvic pain, hypermenorrhea, and mild pelvic endometriosis.",Surgery,Obstetrics / Gynecology
"Laparoscopic lysis of adhesions and Laparoscopic left adrenalectomy. Left adrenal mass, 5.5 cm and intraabdominal adhesions.",Surgery,Surgery
Laparoscopic appendectomy. Acute appendicitis.,Surgery,Surgery
Ruptured appendicitis.,Surgery,General Medicine
Appendicitis. Laparoscopic appendectomy. Infraumbilical incision was performed and taken down to the fascia. The fascia was incised. The peritoneal cavity was carefully entered. Two other ports were placed in the right and left lower quadrants.,Surgery,Surgery
Appendicitis. Laparoscopic appendectomy. CO2 insufflation was done to a maximum pressure of 15 mmHg and a 12-mm VersaStep port was placed through his umbilicus.,Surgery,Surgery
Acute appendicitis with perforation. Laparoscopic appendectomy. A CT scan of abdomen showed evidence of appendicitis with perforation.,Surgery,Surgery
Laparoscopic appendectomy. The patient is a 42-year-old female who presented with right lower quadrant pain. She was evaluated and found to have a CT evidence of appendicitis.,Surgery,Surgery
Standard Laparoscopic Cholecystectomy Operative Note.,Surgery,Surgery
Laparoscopic cholecystectomy.,Surgery,Surgery
"Laparoscopic cholecystectomy. Biliary colic and biliary dyskinesia. The patient had a workup for her gallbladder, which showed evidence of biliary dyskinesia.",Surgery,General Medicine
Laparoscopic cholecystectomy due to chronic cholecystitis and cholelithiasis.,Surgery,Surgery
Chronic cholecystitis without cholelithiasis.,Surgery,Gastroenterology
Acute cholecystitis. Laparoscopic cholecystectomy. The abdominal area was prepped and draped in the usual sterile fashion. A small skin incision was made below the umbilicus. It was carried down in the transverse direction on the side of her old incision. It was carried down to the fascia.,Surgery,Surgery
"Biliary colic. Laparoscopic cholecystectomy. Laparoscopic examination showed no injury from entry. Marcaine was then injected just subxiphoid, and a 5-mm port was placed under direct visualization for the laparoscope.",Surgery,General Medicine
"Cholelithiasis; possible choledocholithiasis. Laparoscopic cholecystectomy and intraoperative cholangiogram. A small incision was made in the umbilicus, and a Veress needle was introduced into the abdomen. CO2 insufflation was done to a maximum pressure of 15 mmHg, and a 12-mm VersaStep port was placed into the umbilicus.",Surgery,General Medicine
Cholecystitis and cholelithiasis. Laparoscopic cholecystectomy and intraoperative cholangiogram. The patient received 1 gm of IV Ancef intravenously piggyback. The abdomen was prepared and draped in routine sterile fashion.,Surgery,General Medicine
"Chronic cholecystitis. Laparoscopic cholecystectomy. Patient with increasingly severe more frequent right upper quadrant abdominal pain, more after meals, had a positive ultrasound for significant biliary sludge.",Surgery,Gastroenterology
Laparoscopic cholecystectomy. A 2 cm infraumbilical midline incision was made. The fascia was then cleared of subcutaneous tissue using a tonsil clamp.,Surgery,Surgery
"Symptomatic cholelithiasis. Laparoscopic cholecystectomy and appendectomy (CPT 47563, 44970). The patient requested appendectomy because of the concern of future diagnostic dilemma with pain crisis. Laparoscopic cholecystectomy and appendectomy were recommended to her.",Surgery,General Medicine
Laparoscopic cholecystectomy with cholangiogram. Acute gangrenous cholecystitis with cholelithiasis. The patient had essentially a dead gallbladder with stones and positive wide bile/pus coming from the gallbladder.,Surgery,General Medicine
Laparoscopic cholecystectomy with attempted intraoperative cholangiogram. A 2 cm infraumbilical midline incision was made. The fascia was then cleared of subcutaneous tissue using a tonsil clamp.,Surgery,Surgery
"Chronic cholecystitis, cholelithiasis, and liver cyst. Laparoscopic cholecystectomy and excision of liver cyst. Exploration of the abdomen revealed multiple adhesions of omentum overlying the posterior aspect of the gallbladder.",Surgery,General Medicine
Right hand-assisted laparoscopic cryoablation of renal lesions x2. Lysis of adhesions and renal biopsy.,Surgery,Urology
"Morbid obesity. Laparoscopic antecolic antegastric Roux-en-Y gastric bypass with EEA anastomosis. This is a 30-year-old female, who has been overweight for many years. She has tried many different diets, but is unsuccessful.",Surgery,Bariatrics
"Morbid obesity. Laparoscopic Roux-en-Y gastric bypass, antecolic, antegastric with 25-mm EEA anastamosis, esophagogastroduodenoscopy.",Surgery,Bariatrics
"Total laparoscopic hysterectomy with laparoscopic staging, including paraaortic lymphadenectomy, bilateral pelvic and obturator lymphadenectomy, and washings.",Surgery,Obstetrics / Gynecology
Examination under anesthesia and laparoscopic right orchiopexy.,Surgery,Urology
"Laparoscopic lysis of adhesions, attempted laparoscopic pyeloplasty, and open laparoscopic pyeloplasty. Right ureteropelvic junction obstruction, severe intraabdominal adhesions, and retroperitoneal fibrosis.",Surgery,Urology
Laparoscopic supracervical hysterectomy. A female with a history of severe dysmenorrhea and menorrhagia unimproved with medical management.,Surgery,Obstetrics / Gynecology
"Pelvic pain, pelvic endometriosis, and pelvic adhesions. Laparoscopy, Harmonic scalpel ablation of endometriosis, lysis of adhesions, and cervical dilation. Laparoscopically, the patient has large omental to anterior abdominal wall adhesions along the left side of the abdomen extending down to the left adnexa.",Surgery,Gynecology
Laparoscopy. The cervix was grasped with a single-tooth tenaculum. The uterus was gently sounded and a manipulator was inserted for movement of the uterus throughout the case.,Surgery,Gynecology
"Laparoscopy. An incision was made in the umbilicus, allowing us to insert a micro-laparoscopic trocar. We then insufflated the abdomen with approximately 3 liters of carbon dioxide gas and inserted the micro-laparoscopic instrument.",Surgery,Surgery
"Attempted laparoscopy, open laparoscopy and fulguration of endometrial implant. Chronic pelvic pain, probably secondary to endometriosis.",Surgery,Obstetrics / Gynecology
"Laparoscopy with ablation of endometriosis. Allen-Masters window in the upper left portion of the cul-de-sac, bronze lesions of endometriosis in the central portion of the cul-de-sac as well as both the left uterosacral ligament, flame lesions of the right uterosacral ligament approximately 5 mL of blood tinged fluid in the cul-de-sac.",Surgery,Obstetrics / Gynecology
Diagnostic laparoscopy and drainage of cyst.,Surgery,Surgery
"Diagnostic laparoscopy and laparoscopic appendectomy. Right lower quadrant abdominal pain, rule out acute appendicitis.",Surgery,Surgery
"Laparoscopy with left salpingo-oophorectomy. Left adnexal mass/ovarian lesion. The labia and perineum were within normal limits. The hymen was found to be intact. Laparoscopic findings revealed a 4 cm left adnexal mass, which appeared fluid filled.",Surgery,Gynecology
"Diagnostic laparoscopy and rigid sigmoidoscopy. Acute pain, fever postoperatively, hemostatic uterine perforation, no bowel or vascular trauma.",Surgery,General Medicine
"Laparoscopy, laparotomy, cholecystectomy with operative cholangiogram, choledocholithotomy with operative choledochoscopy and T-tube drainage of the common bile duct.",Surgery,Surgery
"Laparotomy and myomectomy. Enlarged fibroid uterus and blood loss anemia. On bimanual exam, the patient has an enlarged, approximately 14-week sized uterus that is freely mobile and anteverted with no adnexal masses. Surgically, the patient has an enlarged fibroid uterus with a large fundal/anterior fibroids.",Surgery,Obstetrics / Gynecology
Exploratory laparotomy and right salpingectomy.,Surgery,Surgery
"Squamous cell carcinoma of the larynx. Total laryngectomy, right level 2, 3, 4 neck dissection, tracheoesophageal puncture, cricopharyngeal myotomy, right thyroid lobectomy.",Surgery,Otolaryngology
"Direct laryngoscopy, rigid bronchoscopy and dilation of subglottic upper tracheal stenosis.",Surgery,ENT - Otolaryngology
"Microscopic suspension direct laryngoscopy with biopsy of left true vocal cord stripping. Hoarseness, bilateral true vocal cord lesions, and leukoplakia.",Surgery,ENT - Otolaryngology
Carbon dioxide laser photo-ablation due to recurrent dysplasia of vulva.,Surgery,Cosmetic / Plastic Surgery
Cystopyelogram and laser vaporization of the prostate.,Surgery,Urology
Lateral release with lengthening of the ECRB tendon. Lateral epicondylitis.,Surgery,Orthopedic
The patient needing to be reintubated due to a leaking ET tube. The patient is recently postoperative.,Surgery,Surgery
LEEP procedure of endocervical polyp and Electrical excision of pigmented mole of inner right thigh.,Surgery,Dermatology
"Left orchiectomy, scrotal exploration, right orchidopexy.",Surgery,Urology
Repair of upper lid canalicular laceration - Sample/Template.,Surgery,Ophthalmology
"Diagnostic operative arthroscopy with repair and reconstruction of anterior cruciate ligament using autologous hamstring tendon, a 40 mm bioabsorbable femoral pin, and a 9 mm bioabsorbable tibial pin. Repair of lateral meniscus using two fast fixed meniscal repair sutures. Partial medial meniscectomy. Partial chondroplasty of patella. Lateral retinacular release. Open medial plication as well of the right knee.",Surgery,Orthopedic
Ligament reconstruction and tendon interposition arthroplasty of right wrist.,Surgery,Orthopedic
Suction-assisted lipectomy - lipodystrophy of the abdomen and thighs.,Surgery,Cosmetic / Plastic Surgery
Suction-assisted lipectomy of the breast with removal of 350 cc of breast tissue from both sides and two mastopexies.,Surgery,Cosmetic / Plastic Surgery
"Intramuscular lipoma, right upper extremity. Excision of intramuscular lipoma with flap closure.",Surgery,Plastic Surgery
"Excision of lipoma, left knee. A 4 cm mass of adipose tissue most likely representing a lipoma was found in the patient's anteromedial left knee.",Surgery,Orthopedic
"Liposuction of the supraumbilical abdomen, revision of right breast reconstruction, excision of soft tissue fullness of the lateral abdomen and flank.",Surgery,Cosmetic / Plastic Surgery
"Percutaneous liver biopsy. With the patient lying in the supine position and the right hand underneath the head, an area of maximal dullness was identified in the mid-axillary location by percussion.",Surgery,Gastroenterology
Left lower lobectomy.,Surgery,Surgery
"VATS right middle lobectomy, fiberoptic bronchoscopy, mediastinal lymph node sampling, tube thoracostomy x2, multiple chest wall biopsies and excision of margin on anterior chest wall adjacent to adherent tumor.",Surgery,Thoracic Surgery
Right upper lung lobectomy. Mediastinal lymph node dissection,Surgery,Surgery
"Right lower lobectomy, right thoracotomy, extensive lysis of adhesions, mediastinal lymphadenectomy.",Surgery,Surgery
Closed reduction and placement of long-arm cast.,Surgery,Orthopedic
Primary low segment cesarean section.,Surgery,Obstetrics / Gynecology
Primary low-transverse cesarean section.,Surgery,Obstetrics / Gynecology
"Primary cesarean section by low-transverse incision. Term pregnancy, nonreassuring fetal heart tracing.",Surgery,Obstetrics / Gynecology
"A repeat low transverse cervical cesarean section, Lysis of adhesions, Dissection of the bladder of the anterior abdominal wall and away from the fascia, and the patient also underwent a bilateral tubal occlusion via Hulka clips.",Surgery,Obstetrics / Gynecology
"Intrauterine pregnancy at 37 plus weeks, nonreassuring fetal heart rate.",Surgery,Obstetrics / Gynecology
"Repeat low-transverse C-section, lysis of omental adhesions, lysis of uterine adhesions with repair of uterine defect, and bilateral tubal ligation.",Surgery,Obstetrics / Gynecology
"Primary low-transverse C-section. Postdates pregnancy, failure to progress, meconium stained amniotic fluid.",Surgery,Obstetrics / Gynecology
"Primary low transverse cervical cesarean section. Intrauterine pregnancy at 38 weeks and malpresentation. A viable male neonate in the left occiput transverse position with Apgars of 9 and 9 at 1 and 5 minutes respectively, weighing 3030 g. No nuchal cord. No meconium. Normal uterus, fallopian tubes, and ovaries.",Surgery,Obstetrics / Gynecology
"Primary low transverse cesarean section via Pfannenstiel incision. Pregnancy at 40 weeks, failure to progress, premature prolonged rupture of membranes, group B strep colonization, and delivery of viable male neonate.",Surgery,Obstetrics / Gynecology
"Repeat low-transverse cesarean section via Pfannenstiel incision. Intrauterine pregnancy at 39 and 1/7th weeks. Previous cesarean section, refuses trial of labor. Fibroid uterus, oligohydramnios, and nonreassuring fetal heart tones.",Surgery,Obstetrics / Gynecology
Primary low transverse cesarean section by Pfannenstiel skin incision with bilateral tubal sterilization. Intrauterine pregnancy at 35-1/7. Rh isoimmunization. Suspected fetal anemia. Desires permanent sterilization.,Surgery,Obstetrics / Gynecology
"Primary low transverse cervical cesarean section. Intrauterine pregnancy of 39 weeks, Herpes simplex virus positive by history, hepatitis C positive by history with low elevation of transaminases, cephalopelvic disproportion, asynclitism, postpartum macrosomia, and delivery of viable 9 lb female neonate.",Surgery,Obstetrics / Gynecology
Repeat low transverse cesarean section and bilateral tubal ligation (BTL). Intrauterine pregnancy at term with previous cesarean section. Desires permanent sterilization. Macrosomia.,Surgery,Obstetrics / Gynecology
"Repeat low transverse cesarean section and bilateral tubal ligation (BTL). Intrauterine pregnancy at 30 and 4/7th weeks, previous cesarean section x2, multiparity, request for permanent sterilization, and breach presentation in the delivery of a liveborn female neonate.",Surgery,Obstetrics / Gynecology
"Microscopic lumbar discectomy, left L5-S1. Extruded herniated disc, left L5-S1. Left S1 radiculopathy (acute). Morbid obesity.",Surgery,Bariatrics
"Lumbar discogram L2-3, L3-4, L4-5, and L5-S1. Low back pain.",Surgery,Orthopedic
"Lumbar laminectomy for decompression with foraminotomies L3-L4, L4-L5, L5-S1 microtechniques and repair of CSF fistula, microtechniques L5-S1, application of DuraSeal. Lumbar stenosis and cerebrospinal fluid fistula.",Surgery,Neurosurgery
"Injection for myelogram and microscopic-assisted lumbar laminectomy with discectomy at L5-S1 on the left. Herniated nucleus pulposus, L5-S1 on the left with severe weakness and intractable pain.",Surgery,Neurosurgery
Microscopic assisted lumbar laminotomy with discectomy at L5-S1 on the left. Herniated nucleus pulposus of L5-S1 on the left.,Surgery,Orthopedic
Possible CSF malignancy. This is an 83-year-old woman referred for diagnostic lumbar puncture for possible malignancy by Dr. X. The patient has gradually stopped walking even with her walker and her left arm has become gradually less functional. She is not able to use the walker because her left arm is so weak.,Surgery,Neurology
Lumbar puncture with moderate sedation.,Surgery,Neurology
"Lumbar puncture. A 20-gauge spinal needle was then inserted into the L3-L4 space. Attempt was successful on the first try and several mLs of clear, colorless CSF were obtained.",Surgery,Neurology
Recurrent degenerative spondylolisthesis and stenosis at L4-5 and L5-S1 with L3 compression fracture adjacent to an instrumented fusion from T11 through L2 with hardware malfunction distal at the L2 end of the hardware fixation.,Surgery,Orthopedic
Sentinel lymph node biopsy. Ultrasound-guided lumpectomy with intraoperative ultrasound.,Surgery,Surgery
Left axillary lymph node excisional biopsy. Left axillary adenopathy.,Surgery,General Medicine
Lysis of pelvic adhesions. The patient had an 8 cm left ovarian mass. The mass was palpable on physical examination and was tender. She was scheduled for an elective pelvic laparotomy with left salpingooophorectomy.,Surgery,Gynecology
Bilateral reduction mammoplasty for bilateral macromastia,Surgery,Cosmetic / Plastic Surgery
"Bilateral augmentation mammoplasty, breast implant, TCA peel to lesions, vein stripping.",Surgery,Cosmetic / Plastic Surgery
Bilateral reduction mammoplasty with superior and inferiorly based dermal parenchymal pedicle with transposition of the nipple-areolar complex.,Surgery,Cosmetic / Plastic Surgery
Bilateral transaxillary subpectoral mammoplasty with saline-filled implants.,Surgery,Cosmetic / Plastic Surgery
Closed reduction of mandible fractures with Erich arch bars and elastic fixation. Left angle and right body mandible fractures.,Surgery,Surgery
"Excision of soft tissue mass, right foot. The patient is a 51-year-old female with complaints of soft tissue mass over the dorsum of the right foot.",Surgery,Podiatry
Right hallux abductovalgus deformity. Right McBride bunionectomy. Right basilar wedge osteotomy with OrthoPro screw fixation.,Surgery,Orthopedic
An example/template for meatoplasty.,Surgery,ENT - Otolaryngology
An example/template for meatotomy.,Surgery,Urology
"Medial branch rhizotomy, lumbosacral. Fluoroscopy was used to identify the boney landmarks of the spine and the planned needle approach. The skin, subcutaneous tissue, and muscle within the planned approach were anesthetized with 1% Lidocaine.",Surgery,Pain Management
Mediastinal exploration and delayed primary chest closure. The patient is a 12-day-old infant who has undergone a modified stage I Norwood procedure with a Sano modification.,Surgery,Cardiovascular / Pulmonary
The patient had undergone mitral valve repair about seven days ago.,Surgery,Cardiovascular / Pulmonary
Posterior mediastinal mass with possible neural foraminal involvement (benign nerve sheath tumor by frozen section). Left thoracotomy with resection of posterior mediastinal mass.,Surgery,Cardiovascular / Pulmonary
Rhabdomyosarcoma of the left orbit. Left subclavian vein MediPort placement. Needs chemotherapy.,Surgery,Hematology - Oncology
"Arthroscopy, medial meniscoplasty, lateral meniscoplasty, medial femoral chondroplasty, and medical femoral microfracture, right knee. Patellar chondroplasty. Lateral femoral chondroplasty. Meniscal tear, osteochondral lesion, degenerative joint disease, and chondromalacia,",Surgery,Orthopedic
Right pleural effusion and suspected malignant mesothelioma.,Surgery,Pulmonary / Cardiovascular
"Biopsy-proven mesothelioma - Placement of Port-A-Cath, left subclavian vein with fluoroscopy.",Surgery,Cardiovascular / Pulmonary
Right nodular malignant mesothelioma.,Surgery,Hematology - Oncology
Left metastasectomy of metastatic renal cell carcinoma with additional mediastinal lymph node dissection and additional fiberoptic bronchoscopy.,Surgery,Surgery
Central neck reoperation with removal of residual metastatic lymphadenopathy and thyroid tissue in the central neck. Left reoperative neck dissection levels 1 and the infraclavicular fossa on the left side. Right levels 2 through 5 neck dissection and superior mediastinal dissection of lymph nodes and pretracheal dissection of lymph nodes in a previously operative field.,Surgery,Surgery
Microsuspension direct laryngoscopy with biopsy. Fullness in right base of the tongue and chronic right ear otalgia.,Surgery,ENT - Otolaryngology
Right middle ear exploration with a Goldenberg TORP reconstruction.,Surgery,ENT - Otolaryngology
Endoscopic subperiosteal midface lift using the endotine midface suspension device. Transconjunctival lower lid blepharoplasty with removal of a portion of the medial and middle fat pad.,Surgery,Cosmetic / Plastic Surgery
Mini-laparotomy radical retropubic prostatectomy with bilateral pelvic lymph node dissection with Cavermap. Adenocarcinoma of the prostate.,Surgery,Urology
Mitral valve repair using a quadrangular resection of the P2 segment of the posterior leaflet. Mitral valve posterior annuloplasty using a Cosgrove Galloway Medtronic fuser band. Posterior leaflet abscess resection.,Surgery,Cardiovascular / Pulmonary
Mohs Micrographic Surgery for basal cell CA at mid parietal scalp.,Surgery,Dermatology
Mohs Micrographic Surgery for basal cell CA at medial right inferior helix.,Surgery,Dermatology
Multiple stent placements with Impella circulatory assist device.,Surgery,Cardiovascular / Pulmonary
"Arthroscopy with arthroscopic rotator cuff debridement, anterior acromioplasty, and Mumford procedure left shoulder. Partial rotator cuff tear with impingement syndrome. Degenerative osteoarthritis of acromioclavicular joint, left shoulder, rule out slap lesion.",Surgery,Orthopedic
"Bilateral myringotomies, insertion of PE tubes, and pharyngeal anesthesia.",Surgery,ENT - Otolaryngology
Bilateral myringotomies and insertion of Shepard grommet draining tubes.,Surgery,ENT - Otolaryngology
Bilateral myringotomies with insertion of Santa Barbara T-tube.,Surgery,ENT - Otolaryngology
Removal of the old right pressure equalizing tube. Myringotomy with placement of a left pressure equalizing tube.,Surgery,ENT - Otolaryngology
"Nasal septal reconstruction, bilateral submucous resection of the inferior turbinates, and bilateral outfracture of the inferior turbinates. Chronic nasal obstruction secondary to deviated nasal septum and inferior turbinate hypertrophy.",Surgery,ENT - Otolaryngology
"Open reduction, nasal fracture with nasal septoplasty.",Surgery,ENT - Otolaryngology
"Nasal septoplasty, bilateral submucous resection of the inferior turbinates, and tonsillectomy and resection of soft palate. Nasal septal deviation with bilateral inferior turbinate hypertrophy. Tonsillitis with hypertrophy. Edema to the uvula and soft palate.",Surgery,ENT - Otolaryngology
Left midface elevation with nasolabial fold elevation and nasolabial fold z-plasty and right symmetrization midface elevation.,Surgery,Cosmetic / Plastic Surgery
"Bilateral nasolacrimal probing. Tearing, eyelash encrustation with probable tear duct obstruction bilateral. Distal nasolacrimal duct stenosis with obstruction, left and right eye",Surgery,Ophthalmology
"Left neck dissection. Metastatic papillary cancer, left neck. The patient had thyroid cancer, papillary cell type, removed with a total thyroidectomy and then subsequently recurrent disease was removed with a paratracheal dissection.",Surgery,Oncology
"Malignant mass of the left neck, squamous cell carcinoma. Left neck mass biopsy and selective surgical neck dissection, left.",Surgery,Otolaryngology
"Nonpalpable neoplasm, right breast. Needle localized wide excision of nonpalpable neoplasm, right breast.",Surgery,Lab Medicine - Pathology
"Needle-localized excisional biopsy, left breast. The patient is a 71-year-old black female who had a routine mammogram, which demonstrated suspicious microcalcifications in the left breast. She had no palpable mass on physical exam. She does have significant family history with two daughters having breast cancer.",Surgery,Breast Cancer Surgery
"Needle-localized excisional biopsy of the left breast. Left breast mass with abnormal mammogram. The patient had a nonpalpable left breast mass, which was excised and sent to Radiology with confirmation that the mass is in the specimen.",Surgery,Lab Medicine - Pathology
Left laparoscopic hand-assisted nephrectomy.,Surgery,Urology
Left partial nephrectomy due to left renal mass.,Surgery,Urology
Laparoscopic right partial nephrectomy due to right renal mass.,Surgery,Urology
Right radical nephrectomy and assisted laparoscopic approach.,Surgery,Urology
Laparoscopic right radical nephrectomy due to right renal mass.,Surgery,Urology
Transplant nephrectomy after rejection of renal transplant,Surgery,Nephrology
"Repair of nerve and tendon, right ring finger and exploration of digital laceration. Laceration to right ring finger with partial laceration to the ulnar slip of the FDS which is the flexor digitorum superficialis and 25% laceration to the flexor digitorum profundus of the right ring finger and laceration 100% of the ulnar digital nerve to the right ring finger.",Surgery,Orthopedic
"Excision of neuroma, third interspace, left foot. Morton's neuroma, third interspace, left foot.",Surgery,Podiatry
Stage I and II neuromodulator.,Surgery,Neurology
Left L4-L5 transforaminal neuroplasty with nerve root decompression and lysis of adhesions followed by epidural steroid injection.,Surgery,Orthopedic
Nipple areolar reconstruction utilizing a full-thickness skin graft and mastopexy,Surgery,Cosmetic / Plastic Surgery
Nissen fundoplication. A 2 cm midline incision was made at the junction of the upper two-thirds and lower one-third between the umbilicus and the xiphoid process.,Surgery,Surgery
Left facial cellulitis and possible odontogenic abscess. Attempted incision and drainage (I&D) of odontogenic abscess.,Surgery,Dentistry
"Incision and drainage and excision of the olecranon bursa, left elbow. Acute infected olecranon bursitis, left elbow.",Surgery,Orthopedic
"Leukemic meningitis. Right frontal side-inlet Ommaya reservoir. The patient is a 49-year-old gentleman with leukemia and meningeal involvement, who was undergoing intrathecal chemotherapy.",Surgery,Hematology - Oncology
Acute acalculous cholecystitis. Open cholecystectomy. The patient's gallbladder had some patchy and necrosis areas. There were particular changes on the serosal surface as well as on the mucosal surface with multiple clots within the gallbladder.,Surgery,General Medicine
"Chronic plantar fasciitis, right foot. Open plantar fasciotomy, right foot.",Surgery,Orthopedic
Bilateral scrotal orchiectomy,Surgery,Urology
"Examination under anesthesia, diagnostic laparoscopy, right orchiectomy, and left testis fixation.",Surgery,Surgery
"Left orchiopexy. Ectopic left testis. The patient did have an MRI, which confirmed ectopic testis located near the pubic tubercle.",Surgery,Urology
Bilateral orchiopexy. This 8-year-old boy has been found to have a left inguinally situated undescended testes. Ultrasound showed metastasis to be high in the left inguinal canal. The right testis is located in the right inguinal canal on ultrasound and apparently ultrasound could not be displaced into the right hemiscrotum.,Surgery,Pediatrics - Neonatal
"Left inguinal hernia repair, left orchiopexy with 0.25% Marcaine, ilioinguinal nerve block and wound block at 0.5% Marcaine plain.",Surgery,Surgery
Right orchiopexy and right inguinal hernia repair.,Surgery,Surgery
Orchiopexy & inguinal herniorrhaphy.,Surgery,Surgery
Right undescended testicle. Orchiopexy & Herniorrhaphy.,Surgery,Urology
Open reduction and internal fixation of right distal radius fracture - intraarticular four piece fracture and right carpal tunnel release.,Surgery,Orthopedic
"Open reduction and internal fixation, high grade Frykman VIII distal radius fracture.",Surgery,Orthopedic
"Open reduction internal fixation of the left supracondylar, intercondylar distal femur fracture.",Surgery,Orthopedic
Fractured right fifth metatarsal. Open reduction and internal screw fixation right fifth metatarsal. Application of short leg splint.,Surgery,Orthopedic
Open reduction and internal fixation of left tibia.,Surgery,Orthopedic
Open reduction and internal fixation of left lateral malleolus. Left lateral malleolus fracture.,Surgery,Orthopedic
"Open left angle comminuted angle of mandible, 802.35, and open symphysis of mandible, 802.36. Open reduction, internal fixation (ORIF) of bilateral mandible fractures with multiple approaches, CPT code 21470, and surgical extraction of teeth #17, CPT code 41899.",Surgery,Surgery
"Hawkins IV talus fracture. Open reduction internal fixation of the talus, medial malleolus osteotomy, and repair of deltoid ligament.",Surgery,Orthopedic
